SlNo,From Time,To Time,Forecast MW,AVC MW
1,00:00,00:15,0.00,250
2,00:15,00:30,0.00,250
3,00:30,00:45,0.00,250
4,00:45,01:00,0.00,250
5,01:00,01:15,0.00,250
6,01:15,01:30,0.00,250
7,01:30,01:45,0.00,250
8,01:45,02:00,0.00,250
9,02:00,02:15,0.00,250
10,02:15,02:30,0.00,250
11,02:30,02:45,0.00,250
12,02:45,03:00,0.00,250
13,03:00,03:15,0.00,250
14,03:15,03:30,0.00,250
15,03:30,03:45,0.00,250
16,03:45,04:00,0.00,250
17,04:00,04:15,0.00,250
18,04:15,04:30,0.00,250
19,04:30,04:45,0.00,250
20,04:45,05:00,0.00,250
21,05:00,05:15,0.00,250
22,05:15,05:30,0.00,250
23,05:30,05:45,1.37,250
24,05:45,06:00,1.37,250
25,06:00,06:15,1.37,250
26,06:15,06:30,1.37,250
27,06:30,06:45,1.37,250
28,06:45,07:00,1.37,250
29,07:00,07:15,1.37,250
30,07:15,07:30,1.37,250
31,07:30,07:45,2.12,250
32,07:45,08:00,4.25,250
33,08:00,08:15,7.38,250
34,08:15,08:30,10.68,250
35,08:30,08:45,15.06,250
36,08:45,09:00,28.25,250
37,09:00,09:15,47.68,250
38,09:15,09:30,66.53,250
39,09:30,09:45,91.15,250
40,09:45,10:00,74.91,250
41,10:00,10:15,56.49,250
42,10:15,10:30,59.00,250
43,10:30,10:45,71.18,250
44,10:45,11:00,75.71,250
45,11:00,11:15,81.08,250
46,11:15,11:30,69.50,250
47,11:30,11:45,65.63,250
48,11:45,12:00,39.05,250
49,12:00,12:15,21.44,250
50,12:15,12:30,22.55,250
51,12:30,12:45,26.35,250
52,12:45,13:00,29.32,250
53,13:00,13:15,103.72,250
54,13:15,13:30,108.19,250
55,13:30,13:45,71.32,250
56,13:45,14:00,65.34,250
57,14:00,14:15,42.77,250
58,14:15,14:30,31.70,250
59,14:30,14:45,36.00,250
60,14:45,15:00,59.42,250
61,15:00,15:15,42.31,250
62,15:15,15:30,28.43,250
63,15:30,15:45,37.10,250
64,15:45,16:00,34.61,250
65,16:00,16:15,34.17,250
66,16:15,16:30,31.72,250
67,16:30,16:45,48.62,250
68,16:45,17:00,43.77,250
69,17:00,17:15,31.09,250
70,17:15,17:30,19.01,250
71,17:30,17:45,8.13,250
72,17:45,18:00,1.37,250
73,18:00,18:15,0.00,250
74,18:15,18:30,0.00,250
75,18:30,18:45,0.00,250
76,18:45,19:00,0.00,250
77,19:00,19:15,0.00,250
78,19:15,19:30,0.00,250
79,19:30,19:45,0.00,250
80,19:45,20:00,0.00,250
81,20:00,20:15,0.00,250
82,20:15,20:30,0.00,250
83,20:30,20:45,0.00,250
84,20:45,21:00,0.00,250
85,21:00,21:15,0.00,250
86,21:15,21:30,0.00,250
87,21:30,21:45,0.00,250
88,21:45,22:00,0.00,250
89,22:00,22:15,0.00,250
90,22:15,22:30,0.00,250
91,22:30,22:45,0.00,250
92,22:45,23:00,0.00,250
93,23:00,23:15,0.00,250
94,23:15,23:30,0.00,250
95,23:30,23:45,0.00,250
96,23:45,00:00,0.00,250
